TAXON_ORDER,CATEGORY,SPECIES_CODE,SCI_NAME,PRIMARY_COM_NAME,en_IOC,ORDER1,FAMILY,SPECIES_GROUP,REPORT_AS,code,mass,masscomm
539,spuh,scoter,Melanitta sp.,scoter sp.,scoter sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,950,Using mass for BLSC/SUSC
540,species,lotduc,Clangula hyemalis,Long-tailed Duck,Long-tailed Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,740,NA
541,species,buffle,Bucephala albeola,Bufflehead,Bufflehead,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,380,NA
543,species,comgol,Bucephala clangula,Common Goldeneye,Common Goldeneye,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,850,NA
548,species,bargol,Bucephala islandica,Barrow's Goldeneye,Barrow's Goldeneye,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,950,NA
552,species,smew,Mergellus albellus,Smew,Smew,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,3,640,NA
553,species,hoomer,Lophodytes cucullatus,Hooded Merganser,Hooded Merganser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,620,NA
555,species,commer,Mergus merganser,Common Merganser,Common Merganser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,1530,NA
561,species,rebmer,Mergus serrator,Red-breasted Merganser,Red-breasted Merganser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,1060,NA
564,spuh,mergan1,Mergellus/Lophodytes/Mergus sp.,merganser sp.,merganser sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,1060,Using mass for RBME
566,species,masduc,Nomonyx dominicus,Masked Duck,Masked Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,3,380,NA
567,species,rudduc,Oxyura jamaicensis,Ruddy Duck,Ruddy/Andean Duck,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,1,560,NA
578,spuh,duck1,Anatinae sp.,duck sp.,duck sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,800,Using mass for NOPI
579,spuh,waterf1,Anatidae sp.,waterfowl sp.,waterfowl sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,1100,Using mass for MALL
593,spuh,talega1,Talegalla sp.,Talegalla sp.,Talegalla sp.,Galliformes,Megapodiidae (Megapodes),NA,NA,NA,NA,NA
626,species,placha,Ortalis vetula,Plain Chachalaca,Plain Chachalaca,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)","Chachalacas, Guans, and Curassows",NA,2,550,NA
652.5,spuh,chacha2,Ortalis sp.,chachalaca sp.,chachalaca sp.,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)",NA,NA,NA,NA,NA
